chronic_condition,condition_no_chronic,condition,general_grouping,iasp_classification
“19 patients with painful diabetic polyneuropathy and 18 patients with painful nondiabetic polyneuropathy”,“19 patients with painful diabetic polyneuropathy and 18 patients with painful nondiabetic polyneuropathy”,neuropathic pain,neuropathic,neuropathic
"arm pain - we included individuals with a range of clinical diagnoses involving the tendons, soft tissues and nerves of the arm, as well as those with non-specific arm symptoms related to movement (‘‘overuse strain syndrome”).","arm pain - we included individuals with a range of clinical diagnoses involving the tendons, soft tissues and nerves of the arm, as well as those with non-specific arm symptoms related to movement (‘‘overuse strain syndrome”).",arm pain,musculoskeletal,primary
atypical facial pain,atypical facial pain,facial pain,orofacial,orofacial
burning mouth syndrome,burning mouth syndrome,burning mouth syndrome,neuropathic,neuropathic
central neuropathic pain caused by lesion or dysfunction in the cns.,central neuropathic pain caused by lesion or dysfunction in the cns.,neuropathic pain,neuropathic,neuropathic
central pain in multiple sclerosis,central pain in multiple sclerosis,multiple sclerosis related neuropathic pain,neuropathic,neuropathic
central post-stroke pain,central post-stroke pain,neuropathic pain,neuropathic,neuropathic
chemotherapy-induced painful peripheral neuropathy,chemotherapy-induced painful peripheral neuropathy,chemotherapy neuropathic pain,cancer-related,cancer-related
chest pain (non cardiac),chest pain (non cardiac),chest pain,chest pain,primary
chronic cervical and/or lumbar spine pain,cervical and/or lumbar spine pain,low back pain,musculoskeletal,primary
chronic knee osteoarthritis,knee osteoarthritis,osteoarthritis,musculoskeletal,musculoskeletal
chronic low back pain,low back pain,low back pain,musculoskeletal,primary
chronic low back pain with a neuropathic component,low back pain with a neuropathic component,low back pain,musculoskeletal,primary
chronic neck pain,neck pain,neck pain,musculoskeletal,primary
chronic neuropathic low back pain,neuropathic low back pain,low back pain,musculoskeletal,primary
chronic neuropathic pain following spinal cord injury,neuropathic pain following spinal cord injury,neuropathic pain,neuropathic,neuropathic
chronic neuropathic pain following treatment for breast cancer,neuropathic pain following treatment for breast cancer,neuropathic pain,neuropathic,neuropathic
chronic pain of various origins,pain of various origins,various,unable to be classified,unable to be classified
chronic pain syndrome due to hip and knee arthritis,pain syndrome due to hip and knee arthritis,osteoarthritis,musculoskeletal,musculoskeletal
"chronic pain syndromes
from deafferentation and with oncological pain
with deafferentation component . of the 45 patients entered into the
study, 27 were affected by pain caused by tumors
and 18 by pain from other causes.","pain syndromes
from deafferentation and with oncological pain
with deafferentation component . of the 45 patients entered into the
study, 27 were affected by pain caused by tumors
and 18 by pain from other causes.",neuropathic pain,neuropathic,neuropathic
chronic pain syndromes - 13 patients were regarded as having pain syndromes of predominantly organic origin while 27 of the patients had pain syndromes of predominantly psychogenic origin.,pain syndromes - 13 patients were regarded as having pain syndromes of predominantly organic origin while 27 of the patients had pain syndromes of predominantly psychogenic origin.,unspecified chronic pain syndrome,primary,primary
"chronic pain syndromes: of the 59 randomised participants: 27 presented with low back pain, 16 with
osteoarthritis, 8 with fibromyalgia, and 8 with rheumatoid arthritis","pain syndromes: of the 59 randomised participants: 27 presented with low back pain, 16 with
osteoarthritis, 8 with fibromyalgia, and 8 with rheumatoid arthritis",mixture of chronic pain conditions,unable to be classified,unable to be classified
chronic pelvic pain,pelvic pain,pelvic pain,musculoskeletal,primary
"chronic peripheral neuropathic pain
conditions include: n(%)
diabetic peripheral neuropathy: 16 (31%)
idiopathic polyneuropathy: 15 (29%)
postherpetic neuralgia: 12 (23%)
chemotherapy-induced peripheral neuropathy: 6 (12%)
posttraumatic neuropathy: 2 (4%)
myelin-associated glycoprotein neuropathy: 1 (2%)","peripheral neuropathic pain
conditions include: n(%)
diabetic peripheral neuropathy: 16 (31%)
idiopathic polyneuropathy: 15 (29%)
postherpetic neuralgia: 12 (23%)
chemotherapy-induced peripheral neuropathy: 6 (12%)
posttraumatic neuropathy: 2 (4%)
myelin-associated glycoprotein neuropathy: 1 (2%)",neuropathic pain,neuropathic,neuropathic
chronic phantom limb pain/residual limb pain after amputation,phantom limb pain/residual limb pain after amputation,phantom limb pain,post-traumatic pain,post-traumatic pain
chronic postherpetic neuralgia,postherpetic neuralgia,post-herpetic neuralgia,neuropathic,neuropathic
chronic temporomandibular disorders,temporomandibular disorders,temporomandibular disorder,orofacial,orofacial
"chronic, intractable 'psychogenic' pain",", intractable 'psychogenic' pain",unspecified chronic pain syndrome,primary,primary
diabetic neuropathic pain,diabetic neuropathic pain,painful diabetic neuropathy,neuropathic,neuropathic
diabetic peripheral neuropathic pain,diabetic peripheral neuropathic pain,painful diabetic neuropathy,neuropathic,neuropathic
diabetic peripheral neuropathic pain (dpnp),diabetic peripheral neuropathic pain (dpnp),painful diabetic neuropathy,neuropathic,neuropathic
diabetic peripheral neuropathy,diabetic peripheral neuropathy,painful diabetic neuropathy,neuropathic,neuropathic
diabetic polyneuropathy,diabetic polyneuropathy,painful diabetic neuropathy,neuropathic,neuropathic
