Study Identifier,Comments,Intervention,Intervention Name,Intervention Type,Adverse drug reaction Endpoint %,Adverse drug reaction Endpoint N, Adverse effects - physician-rated with the DOTES Endpoint %, Adverse effects - physician-rated with the DOTES Endpoint N,Adverse events Endpoint %,Adverse events Endpoint N,Adverse Events 3 months [Acute phase post-intervention] %,Adverse Events 3 months [Acute phase post-intervention] N,Adverse Events 6 months [Continuation phase post-intervention] %,Adverse Events 6 months [Continuation phase post-intervention] N,Adverse Events At least one adverse event of at least moderate intensity %,Adverse Events At least one adverse event of at least moderate intensity N,Adverse Events Ednpoint %,Adverse Events Ednpoint N,Adverse Events Endpoint %,Adverse Events Endpoint N,Adverse Events Endpoint (completer analysis n=74) %,Adverse Events Endpoint (completer analysis n=74) N,Adverse Events Endpoint (N discontinued treatment due to adverse events) %,Adverse Events Endpoint (N discontinued treatment due to adverse events) N,"Adverse Events Endpoint (no tabulation, just given in a figure) %","Adverse Events Endpoint (no tabulation, just given in a figure) N",Adverse Events No AEs %,Adverse Events No AEs N,Adverse Events Patient drop-out due to adverse event %,Adverse Events Patient drop-out due to adverse event N,Adverse events (moderate to severe side-effects) Endpoint %,Adverse events (moderate to severe side-effects) Endpoint N
Lee 2010,"Title: Efficacy of Venlafaxine for Symptomatic Relief in Young Adult Patients With Functional Chest Pain: A Randomized, Double-Blind, Placebo-Controlled, Crossover Trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
Lee 2010,"Title: Efficacy of Venlafaxine for Symptomatic Relief in Young Adult Patients With Functional Chest Pain: A Randomized, Double-Blind, Placebo-Controlled, Crossover Trial",Venlafaxine - 75mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,52,,,,,,,,,,,,,
dsrhv 2018,Title: Comparative study of conservative therapies for dysfunction chronic muscular temporomandibular: blind controlled randomized clinical trial,Control,Control,Waitlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsrhv 2018,Title: Comparative study of conservative therapies for dysfunction chronic muscular temporomandibular: blind controlled randomized clinical trial,Amitriptyline 10mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsrhv 2018,Title: Comparative study of conservative therapies for dysfunction chronic muscular temporomandibular: blind controlled randomized clinical trial,Amitriptyline 10mg + splint,Amitriptyline + splint,Antidepressant + Splint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsrhv 2018,Title: Comparative study of conservative therapies for dysfunction chronic muscular temporomandibular: blind controlled randomized clinical trial,Acupuncture,Acupuncture,Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keskinbora 2006,Title: Comparison of efficacy of gabapentin and amitriptyline in the management of peripheral neuropathic pain,Gabapentin 900 – 3600mg,Gabapentin,Anticonvulsant,,,,,,,,,,,,,,,23.1,6,,,,,,,,,,,,
Keskinbora 2006,Title: Comparison of efficacy of gabapentin and amitriptyline in the management of peripheral neuropathic pain,Amitriptyline 25 – 150mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,69.2,18,,,,,,,,,,,,
Cannon 1994,Title: Imipramine in patients with chest pain despite normal coronary angiograms,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,55,11,,,,,,,,,,,,
Cannon 1994,Title: Imipramine in patients with chest pain despite normal coronary angiograms,Clonidine,Clonidine,Antihypertensive,,,,,,,,,,,,,,,70,14,,,,,,,,,,,,
Cannon 1994,Title: Imipramine in patients with chest pain despite normal coronary angiograms,Imipramine 50mg,Imipramine,Antidepressant,,,,,,,,,,,,,,,75,15,,,,,,,,,,,,
Shlay 1998,"Title: Acupuncture and Amitriptyline for Pain Due to HIV-Related Peripheral Neuropathy, A Randomized Controlled Trial",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shlay 1998,"Title: Acupuncture and Amitriptyline for Pain Due to HIV-Related Peripheral Neuropathy, A Randomized Controlled Trial",Amitriptyline 75mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
